id_venda,id_cliente,id_produto,data_venda,hora_venda,canal_venda,quantidade,preco_unitario,desconto_pct,valor_frete,fulfillment,receita_bruta,valor_desconto,valor_previsto_calc,transaction_id,metodo_pagamento,status,valor_previsto,valor_pago,horario_transacao,suspeito_heuristica,delta,flag_divergencia,nome,segmento,uf,regiao,data_cadastro,nome_produto,categoria,subcategoria,preco_base,custo,ativo,data,ano,mes,dia,dia_semana,nome_mes,eh_fim_de_semana,margem_bruta,hora,R01,R02,R03,R04,score_risco
1,1563,951,2024-03-04,1900-01-01 12:01:28,marketplace,1,854.3,15,0.0,parceiro,854.3,128.14499999999998,726.155,tx_000001,cartao_credito,chargeback,726.15,752.43,12:01:28,False,0.0049999999999954525,False,Cliente 1563,educacao,DF,Centro-Oeste,2022-03-17,Camiseta 951,Moda,Camiseta,829.31,496.04,True,2024-03-04,2024,3,4,0,March,False,358.25999999999993,12,0,0,1,0,5
2,2797,909,2024-04-11,1900-01-01 06:49:24,site,1,104.89,5,24.9,zoop,104.89,5.2445,124.5455,tx_000002,cartao_credito,chargeback,124.55,127.81,06:49:24,False,0.004499999999993065,False,Cliente 2797,restaurante,MT,Centro-Oeste,2022-04-20,Fone de Ouvido 909,Eletrônicos,Fone de Ouvido,106.11,81.52,True,2024-04-11,2024,4,11,3,April,False,23.370000000000005,6,0,0,1,0,5
3,1668,715,2024-03-02,1900-01-01 15:47:38,app,3,247.73,5,9.9,zoop,743.1899999999999,37.1595,715.9304999999999,tx_000003,boleto,recusado,715.93,707.52,15:47:38,False,0.0004999999999881766,False,Cliente 1668,tecnologia,AC,Norte,2022-07-04,Cafeteira 715,Casa & Cozinha,Cafeteira,259.74,164.9,True,2024-03-02,2024,3,2,5,March,True,248.4899999999999,15,0,0,0,0,0
4,4276,1020,2024-07-03,1900-01-01 15:16:32,app,1,1702.94,0,19.9,parceiro,1702.94,0.0,1722.8400000000001,tx_000004,pix,estornado,1722.84,1723.4599999999998,15:16:32,False,2.2737367544323206e-13,False,Cliente 4276,tecnologia,RJ,Sudeste,2022-12-08,Teclado 1020,Escritório,Teclado,1857.48,1279.4,True,2024-07-03,2024,7,3,2,July,False,423.53999999999996,15,0,0,0,0,0
5,2640,603,2024-06-30,1900-01-01 11:19:53,marketplace,2,1040.13,5,0.0,parceiro,2080.26,104.01300000000002,1976.2470000000003,tx_000005,boleto,chargeback,1976.25,1999.02,11:19:53,False,0.0029999999997016857,False,Cliente 2640,restaurante,SP,Sudeste,2023-04-23,Liquidificador 603,Casa & Cozinha,Liquidificador,1143.26,817.29,True,2024-06-30,2024,6,30,6,June,True,445.6800000000003,11,0,0,1,0,5
6,4588,983,2024-01-09,1900-01-01 08:46:41,site,1,1886.17,5,9.9,zoop,1886.17,94.30850000000001,1801.7615,tx_000006,cartao_credito,chargeback,1801.76,1777.3,08:46:41,False,0.0015000000000782165,False,Cliente 4588,varejo,PE,Nordeste,2022-12-17,Câmera 983,Eletrônicos,Câmera,1823.09,1282.48,True,2024-01-09,2024,1,9,1,January,False,603.69,8,0,0,1,0,5
7,1525,1032,2024-03-20,1900-01-01 04:44:30,site,1,770.59,10,14.9,parceiro,770.59,77.05900000000001,708.431,tx_000007,boleto,chargeback,708.43,680.3599999999999,04:44:30,False,0.00100000000009004,False,Cliente 1525,varejo,AM,Norte,2022-12-20,Fone de Ouvido 1032,Eletrônicos,Fone de Ouvido,759.69,495.76,True,2024-03-20,2024,3,20,2,March,False,274.83000000000004,4,0,0,1,0,5
8,4373,662,2024-08-02,1900-01-01 05:11:59,site,1,874.89,10,0.0,zoop,874.89,87.489,787.401,tx_000008,pix,recusado,787.4,818.9399999999999,05:11:59,False,0.0009999999999763531,False,Cliente 4373,restaurante,RN,Nordeste,2023-01-27,Perfume 662,Beleza,Perfume,894.76,569.52,True,2024-08-02,2024,8,2,4,August,False,305.37,5,0,0,0,0,0
9,1123,1010,2024-04-14,1900-01-01 09:25:40,app,2,1394.98,0,0.0,parceiro,2789.96,0.0,2789.96,tx_000009,cartao_credito,chargeback,2789.96,2652.79,09:25:40,False,0.0,False,Cliente 1123,saude,SC,Sul,2023-07-11,Mesa 1010,Escritório,Mesa,1459.22,834.37,True,2024-04-14,2024,4,14,6,April,True,1121.22,9,0,0,1,0,5
10,1117,982,2024-01-18,1900-01-01 23:55:09,site,3,1444.14,5,9.9,zoop,4332.42,216.621,4125.699,tx_000010,pix,chargeback,4125.7,4236.07,23:55:09,False,0.0010000000002037268,False,Cliente 1117,restaurante,MS,Centro-Oeste,2022-03-16,Tênis 982,Moda,Tênis,1392.56,773.87,True,2024-01-18,2024,1,18,3,January,False,2010.81,23,0,0,1,0,5
