id_venda,id_cliente,id_produto,data_venda,hora_venda,canal_venda,quantidade,preco_unitario,desconto_pct,valor_frete,fulfillment,receita_bruta,valor_desconto,valor_previsto_calc,transaction_id,metodo_pagamento,status,valor_previsto,valor_pago,horario_transacao,suspeito_heuristica,delta,flag_divergencia,nome,segmento,uf,regiao,data_cadastro,nome_produto,categoria,subcategoria,preco_base,custo,ativo,data,ano,mes,dia,dia_semana,nome_mes,eh_fim_de_semana,margem_bruta,hora,R01,R02,R03,R04,score_risco
8838,2940,1085,2024-03-24,1900-01-01 04:20:52,marketplace,3,1171.36,15,14.9,zoop,3514.08,527.112,3001.868,tx_008838,boleto,chargeback,3001.87,3902.43,04:20:52,True,0.0019999999999527063,False,Cliente 2940,educacao,PA,Norte,2022-08-21,Camiseta 1085,Moda,Camiseta,1152.53,920.52,True,2024-03-24,2024,3,24,6,March,True,752.52,4,1,1,1,1,16
18026,4597,1005,2024-05-05,1900-01-01 04:18:04,site,3,788.74,15,0.0,parceiro,2366.2200000000003,354.93300000000005,2011.2870000000003,tx_018026,cartao_credito,chargeback,2011.29,2614.68,04:18:04,True,0.0029999999997016857,False,Cliente 4597,educacao,RN,Nordeste,2023-03-16,Mesa 1005,Escritório,Mesa,849.6,587.01,True,2024-05-05,2024,5,5,6,May,True,605.1900000000003,4,1,1,1,1,16
2715,3379,618,2024-11-06,1900-01-01 05:53:28,app,3,600.0,15,19.9,parceiro,1800.0,270.0,1549.9,tx_002715,cartao_credito,chargeback,1549.9,1084.93,05:53:28,True,0.0,False,Cliente 3379,servicos,MG,Sudeste,2023-06-24,Smartphone 618,Eletrônicos,Smartphone,143.46,84.83,True,2024-11-06,2024,11,6,2,November,False,1545.51,5,1,1,1,1,16
14205,4359,754,2024-03-25,1900-01-01 00:02:14,marketplace,3,2543.085880889248,0,24.9,zoop,7629.257642667744,0.0,7654.157642667744,tx_014205,cartao_credito,chargeback,8002.5,9603.0,19:33:22,True,348.34235733225614,True,Cliente 4359,saude,RO,Norte,2023-08-21,Teclado 754,Escritório,Teclado,1539.39,1209.83,False,2024-03-25,2024,3,25,0,March,False,3999.7676426677444,0,1,1,1,1,16
18717,2611,1047,2024-11-21,1900-01-01 03:28:47,app,3,2106.017877058207,5,14.9,zoop,6318.053631174621,315.90268155873105,6017.050949615889,tx_018213,boleto,chargeback,6017.05,7822.17,03:28:47,True,0.0009496158891124651,False,Cliente 2611,industria,RN,Nordeste,2022-04-29,Fone de Ouvido 1047,Eletrônicos,Fone de Ouvido,1589.72,829.7,True,2024-11-21,2024,11,21,3,November,False,3828.9536311746206,3,1,1,1,1,16
11056,2951,723,2024-05-28,1900-01-01 04:08:22,site,3,898.12,10,9.9,zoop,2694.36,269.43600000000004,2434.824,tx_011056,pix,chargeback,2434.82,2921.78,04:08:22,True,0.0039999999999054126,False,Cliente 2951,educacao,MT,Centro-Oeste,2023-03-24,Câmera 723,Eletrônicos,Câmera,883.16,541.23,False,2024-05-28,2024,5,28,1,May,False,1070.67,4,1,1,1,1,16
12563,4622,700,2024-02-16,1900-01-01 01:15:32,site,3,600.0,0,14.9,zoop,1800.0,0.0,1814.9,tx_012563,pix,chargeback,1814.9,2359.37,01:15:32,True,0.0,False,Cliente 4622,saude,ES,Sudeste,2023-07-08,Câmera 700,Eletrônicos,Câmera,71.38,42.17,True,2024-02-16,2024,2,16,4,February,False,1673.49,1,1,1,1,1,16
15306,4721,977,2024-04-20,1900-01-01 22:37:14,app,1,1931.99,5,0.0,parceiro,1931.99,96.5995,1835.3905,tx_017673,pix,chargeback,1835.39,1284.77,22:37:14,True,0.0004999999998744897,False,Cliente 4721,servicos,PE,Nordeste,2023-03-09,Teclado 977,Escritório,Teclado,1960.54,1026.6,True,2024-04-20,2024,4,20,5,April,True,905.3900000000001,22,0,1,1,1,13
15839,1419,1017,2024-07-21,1900-01-01 10:30:11,marketplace,2,991.53,0,9.9,zoop,1983.06,0.0,1992.96,tx_008325,boleto,chargeback,1992.96,2590.85,10:30:11,True,0.0,False,Cliente 1419,industria,ES,Sudeste,2022-02-10,Tênis 1017,Moda,Tênis,1097.23,784.23,True,2024-07-21,2024,7,21,6,July,True,414.5999999999999,10,0,1,1,1,13
17914,4481,786,2024-02-09,1900-01-01 18:32:12,marketplace,1,778.12,15,0.0,parceiro,778.12,116.71799999999999,661.402,tx_017914,boleto,chargeback,661.4,462.98,18:32:12,True,0.002000000000066393,False,Cliente 4481,saude,RJ,Sudeste,2023-06-09,Camiseta 786,Moda,Camiseta,788.3,531.95,True,2024-02-09,2024,2,9,4,February,False,246.16999999999996,18,0,1,1,1,13
4140,1360,1096,2024-04-01,1900-01-01 12:58:55,app,3,403.12,5,24.9,parceiro,1209.3600000000001,60.46800000000001,1173.7920000000001,tx_004140,cartao_credito,chargeback,1198.47,1438.16,08:08:28,True,24.677999999999884,True,Cliente 1360,educacao,RS,Sul,2023-06-05,Perfume 1096,Beleza,Perfume,417.98,227.58,True,2024-04-01,2024,4,1,0,April,False,526.6200000000001,12,0,1,1,1,13
9661,4747,901,2024-10-11,1900-01-01 07:06:35,site,1,716.05,10,0.0,parceiro,716.05,71.605,644.4449999999999,tx_009661,pix,chargeback,644.44,837.77,07:06:35,True,0.004999999999881766,False,Cliente 4747,servicos,GO,Centro-Oeste,2022-12-20,Teclado 901,Escritório,Teclado,724.27,454.28,True,2024-10-11,2024,10,11,4,October,False,261.77,7,0,1,1,1,13
9637,3431,532,2024-07-20,1900-01-01 06:32:47,app,1,420.87,15,9.9,zoop,420.87,63.1305,367.6395,tx_009637,boleto,chargeback,367.64,477.93,06:32:47,True,0.0004999999999881766,False,Cliente 3431,servicos,PE,Nordeste,2022-02-04,Creme 532,Beleza,Creme,464.35,335.44,True,2024-07-20,2024,7,20,5,July,True,85.43,6,0,1,1,1,13
16240,3647,828,2024-11-18,1900-01-01 01:41:37,site,1,373.42,5,0.0,zoop,373.42,18.671000000000003,354.749,tx_016240,boleto,chargeback,368.86,258.2,04:46:58,True,14.11099999999999,True,Cliente 3647,restaurante,SP,Sudeste,2022-12-20,Aspirador 828,Casa & Cozinha,Aspirador,431.3,276.48,True,2024-11-18,2024,11,18,0,November,False,96.94,1,0,1,1,1,13
19486,2056,697,2024-09-16,1900-01-01 14:34:09,app,2,556.86,10,0.0,parceiro,1113.72,111.37200000000001,1002.348,tx_014315,cartao_credito,chargeback,1002.35,701.64,14:34:09,True,0.002000000000066393,False,Cliente 2056,varejo,PA,Norte,2023-03-25,Mesa 697,Escritório,Mesa,614.07,325.46,True,2024-09-16,2024,9,16,0,September,False,462.80000000000007,14,0,1,1,1,13
11908,1782,1048,2024-06-11,1900-01-01 07:09:48,marketplace,2,944.43,15,14.9,parceiro,1888.86,283.32899999999995,1620.431,tx_011908,boleto,chargeback,1620.43,1134.3,07:09:48,True,0.0009999999999763531,False,Cliente 1782,saude,AC,Norte,2022-09-29,Cadeira 1048,Escritório,Cadeira,977.74,518.17,True,2024-06-11,2024,6,11,1,June,False,852.52,7,0,1,1,1,13
15938,3383,716,2024-12-02,1900-01-01 05:43:15,app,2,431.0,10,0.0,parceiro,862.0,86.2,775.8,tx_015938,boleto,chargeback,814.82,570.37,07:11:58,True,39.020000000000095,True,Cliente 3383,tecnologia,TO,Norte,2023-08-17,Shampoo 716,Beleza,Shampoo,439.2,252.87,True,2024-12-02,2024,12,2,0,December,False,356.26,5,0,1,1,1,13
4140,1360,1096,2024-04-01,1900-01-01 08:08:28,app,3,411.78,5,24.9,parceiro,1235.34,61.766999999999996,1198.473,tx_004140,cartao_credito,chargeback,1198.47,1438.16,08:08:28,True,0.0029999999999290594,False,Cliente 1360,educacao,RS,Sul,2023-06-05,Perfume 1096,Beleza,Perfume,417.98,227.58,True,2024-04-01,2024,4,1,0,April,False,552.5999999999999,8,0,1,1,1,13
15364,3498,956,2024-08-17,1900-01-01 19:37:43,marketplace,1,824.7,10,24.9,parceiro,824.7,82.47000000000001,767.13,tx_015364,cartao_credito,chargeback,767.13,920.56,19:37:43,True,0.0,False,Cliente 3498,varejo,MG,Sudeste,2022-10-08,Cafeteira 956,Casa & Cozinha,Cafeteira,898.54,540.81,True,2024-08-17,2024,8,17,5,August,True,283.8900000000001,19,0,1,1,1,13
6253,3636,706,2024-11-16,1900-01-01 04:03:45,marketplace,1,181.49,10,9.9,parceiro,181.49,18.149,173.241,tx_010752,pix,chargeback,173.24,121.27,04:03:45,True,0.0010000000000047748,False,Cliente 3636,restaurante,MS,Centro-Oeste,2022-04-05,Calça 706,Moda,Calça,182.85,137.47,True,2024-11-16,2024,11,16,5,November,True,44.02000000000001,4,0,1,1,1,13
9302,2568,652,2024-08-17,1900-01-01 13:02:10,site,2,542.04,5,0.0,parceiro,1084.08,54.204,1029.876,tx_009302,boleto,chargeback,1055.58,1266.7,14:14:09,True,25.70399999999995,True,Cliente 2568,saude,MG,Sudeste,2023-03-31,Tênis 652,Moda,Tênis,551.48,356.23,True,2024-08-17,2024,8,17,5,August,True,371.6199999999999,13,0,1,1,1,13
